2023-09-24 21:19:49,723.SmartSmoker_Producer.INFO ==================================================
2023-09-24 21:19:49,738.SmartSmoker_Producer.INFO Today is 2023-09-24 at 09:19 PM
2023-09-24 21:19:49,738.SmartSmoker_Producer.INFO Running on: nt Windows 10
2023-09-24 21:19:49,738.SmartSmoker_Producer.INFO Python version:  3.10.9
2023-09-24 21:27:29,629.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:27,No data received from row]'....
2023-09-24 21:27:29,651.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:27,No data received from row]'....
2023-09-24 21:27:59,679.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:27,108.2]'....
2023-09-24 21:27:59,707.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:27,No data received from row]'....
2023-09-24 21:27:59,723.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:27,No data received from row]'....
2023-09-24 21:28:29,741.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:28,111.4]'....
2023-09-24 21:28:29,768.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:28,No data received from row]'....
2023-09-24 21:28:29,795.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:28,No data received from row]'....
2023-09-24 21:28:59,837.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:28,111.4]'....
2023-09-24 21:28:59,846.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:28,No data received from row]'....
2023-09-24 21:28:59,862.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:28,No data received from row]'....
2023-09-24 21:29:29,896.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:29,114.2]'....
2023-09-24 21:29:29,929.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:29,No data received from row]'....
2023-09-24 21:29:29,952.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:29,No data received from row]'....
2023-09-24 21:29:59,979.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:29,114.2]'....
2023-09-24 21:30:00,013.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:29,No data received from row]'....
2023-09-24 21:30:00,041.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:29,No data received from row]'....
2023-09-24 21:30:30,056.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:30,116.9]'....
2023-09-24 21:30:30,088.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:30,No data received from row]'....
2023-09-24 21:30:30,097.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:30,No data received from row]'....
2023-09-24 21:31:00,135.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:30,116.9]'....
2023-09-24 21:31:00,145.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:30,No data received from row]'....
2023-09-24 21:31:00,152.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:30,No data received from row]'....
2023-09-24 21:31:30,176.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:31,119.4]'....
2023-09-24 21:31:30,208.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:31,No data received from row]'....
2023-09-24 21:31:30,222.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:31,No data received from row]'....
2023-09-24 21:32:00,247.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:31,119.4]'....
2023-09-24 21:32:00,250.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:31,No data received from row]'....
2023-09-24 21:32:00,267.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:31,No data received from row]'....
2023-09-24 21:32:30,278.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:32,120.1]'....
2023-09-24 21:32:30,309.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:32,No data received from row]'....
2023-09-24 21:32:30,332.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:32,No data received from row]'....
2023-09-24 21:33:00,352.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:32,120.1]'....
2023-09-24 21:33:00,384.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:32,No data received from row]'....
2023-09-24 21:33:00,417.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:32,No data received from row]'....
2023-09-24 21:33:30,431.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:33,106.2]'....
2023-09-24 21:33:30,441.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:33,No data received from row]'....
2023-09-24 21:33:30,447.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:33,No data received from row]'....
2023-09-24 21:34:00,471.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:33,106.2]'....
2023-09-24 21:34:00,504.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:33,No data received from row]'....
2023-09-24 21:34:00,522.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:33,No data received from row]'....
2023-09-24 21:34:30,546.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:34,103.5]'....
2023-09-24 21:34:30,580.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:34,No data received from row]'....
2023-09-24 21:34:30,601.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:34,No data received from row]'....
2023-09-24 21:35:00,648.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:34,103.5]'....
2023-09-24 21:35:00,675.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:34,No data received from row]'....
2023-09-24 21:35:00,701.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:34,No data received from row]'....
2023-09-24 21:35:30,720.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:35,105.3]'....
2023-09-24 21:35:30,726.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:35,No data received from row]'....
2023-09-24 21:35:30,746.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:35,No data received from row]'....
2023-09-24 21:36:00,771.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:35,105.3]'....
2023-09-24 21:36:00,785.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:35,No data received from row]'....
2023-09-24 21:36:00,792.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:35,No data received from row]'....
2023-09-24 21:36:30,814.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:36,106.9]'....
2023-09-24 21:36:30,845.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:36,No data received from row]'....
2023-09-24 21:36:30,877.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:36,No data received from row]'....
2023-09-24 21:37:00,905.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:36,106.9]'....
2023-09-24 21:37:00,925.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:36,No data received from row]'....
2023-09-24 21:37:00,936.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:36,No data received from row]'....
2023-09-24 21:37:30,976.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:37,111.9]'....
2023-09-24 21:37:31,009.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:37,No data received from row]'....
2023-09-24 21:37:31,022.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:37,No data received from row]'....
2023-09-24 21:38:01,054.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:37,111.9]'....
2023-09-24 21:38:01,087.SmartSmoker_Producer.INFO Prepared binary message b'[5/22/2021 12:37,No data received from row]'....
